version	cc	vec	tcm	turns	points	slices	threads	time(ms)	std(%)
v2	icc	vec	tcm	1000	7000000	1400	14	4285.3	1.1
v9	nvcc	na	na	1000	500000	100	512X1024	111.2	0.4
v10	nvcc	na	na	1000	500000	100	512X1024	92.4	1.3
v9	nvcc	na	na	1000	1000000	200	512X1024	181.4	0.3
v10	nvcc	na	na	1000	1000000	200	512X1024	134.4	0.4
v9	nvcc	na	na	1000	2000000	400	512X1024	330.2	0.5
v10	nvcc	na	na	1000	2000000	400	512X1024	217.8	0.4
v9	nvcc	na	na	1000	4000000	800	512X1024	645.4	0.2
v10	nvcc	na	na	1000	4000000	800	512X1024	382.0	0.0
v9	nvcc	na	na	1000	7000000	1400	512X1024	1107.2	0.0
v10	nvcc	na	na	1000	7000000	1400	512X1024	652.8	0.1
v9	nvcc	na	na	1000	14000000	2800	512X1024	2336.8	0.0
v10	nvcc	na	na	1000	14000000	2800	512X1024	1326.6	0.2
v9	nvcc	na	na	1000	28000000	5600	512X1024	4997.8	0.1
v10	nvcc	na	na	1000	28000000	5600	512X1024	3986.4	0.0
v3	g++	novec	notcm	1000	500000	100	1	3451.3	0.0
v3	g++	novec	notcm	1000	1000000	200	2	3485.7	0.1
v3	g++	novec	notcm	1000	2000000	400	4	3775.7	0.3
v3	g++	novec	notcm	1000	4000000	800	8	4024.0	0.1
v3	g++	novec	notcm	1000	7000000	1400	14	3993.7	0.4
v3	g++	novec	tcm	1000	500000	100	1	3464.0	0.1
v3	g++	novec	tcm	1000	1000000	200	2	3531.7	0.4
v3	g++	novec	tcm	1000	2000000	400	4	3783.3	0.1
v3	g++	novec	tcm	1000	4000000	800	8	4016.7	0.1
v3	g++	novec	tcm	1000	7000000	1400	14	4021.7	0.0
v3	g++	vec	notcm	1000	500000	100	1	1546.0	1.9
v3	g++	vec	notcm	1000	1000000	200	2	1607.7	1.1
v3	g++	vec	notcm	1000	2000000	400	4	1932.3	0.5
v3	g++	vec	notcm	1000	4000000	800	8	2023.7	0.1
v3	g++	vec	notcm	1000	7000000	1400	14	2000.7	0.3
v3	g++	vec	tcm	1000	500000	100	1	1531.7	1.3
v3	g++	vec	tcm	1000	1000000	200	2	1601.7	1.2
v3	g++	vec	tcm	1000	2000000	400	4	1736.3	0.1
v3	g++	vec	tcm	1000	4000000	800	8	2013.7	0.2
v3	g++	vec	tcm	1000	7000000	1400	14	2017.3	0.1
v3	icc	vec	notcm	1000	500000	100	1	2962.3	0.5
v3	icc	vec	notcm	1000	1000000	200	2	2945.7	1.6
v3	icc	vec	notcm	1000	2000000	400	4	3210.3	2.5
v3	icc	vec	notcm	1000	4000000	800	8	3241.7	1.9
v3	icc	vec	notcm	1000	7000000	1400	14	3303.3	4.4
v3	icc	vec	tcm	1000	500000	100	1	2677.3	0.8
v3	icc	vec	tcm	1000	1000000	200	2	2712.3	0.6
v3	icc	vec	tcm	1000	2000000	400	4	2993.3	1.3
v3	icc	vec	tcm	1000	4000000	800	8	3038.3	0.0
v3	icc	vec	tcm	1000	7000000	1400	14	3031.0	0.1
v4	g++	novec	notcm	1000	500000	100	1	2950.8	0.3
v4	g++	novec	notcm	1000	1000000	200	2	3018.0	0.2
v4	g++	novec	notcm	1000	2000000	400	4	3039.4	0.1
v4	g++	novec	notcm	1000	4000000	800	8	3053.0	0.5
v4	g++	novec	notcm	1000	7000000	1400	14	3713.8	3.0
v4	g++	novec	tcm	1000	500000	100	1	2950.6	0.0
v4	g++	novec	tcm	1000	1000000	200	2	3000.2	0.1
v4	g++	novec	tcm	1000	2000000	400	4	3037.4	0.1
v4	g++	novec	tcm	1000	4000000	800	8	3043.2	0.1
v4	g++	novec	tcm	1000	7000000	1400	14	3941.0	1.5
v4	g++	vec	notcm	1000	500000	100	1	1890.4	4.7
v4	g++	vec	notcm	1000	1000000	200	2	1998.4	2.7
v4	g++	vec	notcm	1000	2000000	400	4	2290.4	6.1
v4	g++	vec	notcm	1000	4000000	800	8	2265.8	4.9
v4	g++	vec	notcm	1000	7000000	1400	14	3143.0	3.6
#v4	g++	vec	notcm	1000	14000000	2800	28	5963.2	8.6
#v4	g++	vec	notcm	1000	28000000	5600	56	11363.6	17.6
v4	g++	vec	tcm	1000	500000	100	1	1800.2	4.1
v4	g++	vec	tcm	1000	1000000	200	2	1926.2	1.5
v4	g++	vec	tcm	1000	2000000	400	4	2036.0	0.2
v4	g++	vec	tcm	1000	4000000	800	8	2038.2	0.2
v4	g++	vec	tcm	1000	7000000	1400	14	3529.0	0.9
#v4	g++	vec	tcm	1000	14000000	2800	28	5775.4	2.6
#v4	g++	vec	tcm	1000	28000000	5600	56	10793.0	8.1
v4	icc	vec	notcm	1000	500000	100	1	3492.2	3.0
v4	icc	vec	notcm	1000	1000000	200	2	3636.2	3.4
v4	icc	vec	notcm	1000	2000000	400	4	3770.0	3.9
v4	icc	vec	notcm	1000	4000000	800	8	3885.2	2.5
v4	icc	vec	notcm	1000	7000000	1400	14	3989.8	1.6
v4	icc	vec	tcm	1000	500000	100	1	3031.0	0.1
v4	icc	vec	tcm	1000	1000000	200	2	2955.8	2.5
v4	icc	vec	tcm	1000	2000000	400	4	3163.0	2.5
v4	icc	vec	tcm	1000	4000000	800	8	3246.2	4.5
v4	icc	vec	tcm	1000	7000000	1400	14	3775.2	4.9
